Count,Filename_0,Time_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Load,Position,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
0,D:/ME EN 6960 Class/Groupr 04\35 fracture-0000_0.tif,2492.476,0.2607,0.2726,0.2469,0.2668,0.2175,0.2449,0.2195,0.2385,-35.2456,16.5242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,D:/ME EN 6960 Class/Groupr 04\35 fracture-0001_0.tif,2492.743,0.2604,0.2720,0.2465,0.2662,0.2169,0.2443,0.2192,0.2382,-35.2018,16.5275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,D:/ME EN 6960 Class/Groupr 04\35 fracture-0002_0.tif,2493.009,0.2607,0.2723,0.2472,0.2668,0.2169,0.2449,0.2195,0.2385,-35.2456,16.5258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,D:/ME EN 6960 Class/Groupr 04\35 fracture-0003_0.tif,2516.210,0.2594,0.2713,0.2456,0.2659,0.2159,0.2440,0.2185,0.2378,-35.0703,16.5308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,D:/ME EN 6960 Class/Groupr 04\35 fracture-0004_0.tif,2516.610,0.2597,0.2717,0.2459,0.2655,0.2156,0.2436,0.2182,0.2372,-35.1141,16.5291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,D:/ME EN 6960 Class/Groupr 04\35 fracture-0005_0.tif,2518.410,0.2591,0.2710,0.2459,0.2662,0.2159,0.2440,0.2182,0.2372,-35.0265,16.5324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,D:/ME EN 6960 Class/Groupr 04\35 fracture-0006_0.tif,2796.822,0.2514,0.2630,0.2369,0.2568,0.2072,0.2349,0.2095,0.2285,-33.9743,16.5737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,D:/ME EN 6960 Class/Groupr 04\35 fracture-0007_0.tif,2856.557,0.2501,0.2613,0.2356,0.2559,0.2063,0.2336,0.2079,0.2275,-33.7990,16.5819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,D:/ME EN 6960 Class/Groupr 04\35 fracture-0008_0.tif,2868.491,0.2498,0.2613,0.2359,0.2562,0.2060,0.2340,0.2076,0.2266,-33.7552,16.5819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,D:/ME EN 6960 Class/Groupr 04\35 fracture-0009_0.tif,2885.825,0.2491,0.2610,0.2356,0.2552,0.2063,0.2330,0.2076,0.2266,-33.6675,16.5835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,D:/ME EN 6960 Class/Groupr 04\35 fracture-0010_0.tif,2903.759,0.2491,0.2610,0.2349,0.2552,0.2053,0.2327,0.2066,0.2262,-33.6675,16.5835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,D:/ME EN 6960 Class/Groupr 04\35 fracture-0011_0.tif,2924.693,0.2488,0.2601,0.2346,0.2546,0.2050,0.2320,0.2069,0.2253,-33.6236,16.5885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,D:/ME EN 6960 Class/Groupr 04\35 fracture-0012_0.tif,2943.227,0.2488,0.2604,0.2346,0.2546,0.2047,0.2324,0.2060,0.2259,-33.6236,16.5868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,D:/ME EN 6960 Class/Groupr 04\35 fracture-0013_0.tif,2967.295,0.2475,0.2594,0.2340,0.2539,0.2040,0.2314,0.2056,0.2246,-33.4483,16.5918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,D:/ME EN 6960 Class/Groupr 04\35 fracture-0014_0.tif,2988.696,0.2475,0.2591,0.2333,0.2533,0.2034,0.2308,0.2056,0.2243,-33.4483,16.5934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,D:/ME EN 6960 Class/Groupr 04\35 fracture-0015_0.tif,3003.297,0.2475,0.2594,0.2336,0.2533,0.2037,0.2308,0.2050,0.2250,-33.4483,16.5918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,D:/ME EN 6960 Class/Groupr 04\35 fracture-0016_0.tif,3017.964,0.2469,0.2588,0.2333,0.2527,0.2034,0.2308,0.2047,0.2243,-33.3606,16.5951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,D:/ME EN 6960 Class/Groupr 04\35 fracture-0017_0.tif,3039.031,0.2462,0.2581,0.2327,0.2527,0.2027,0.2301,0.2047,0.2237,-33.2729,16.5984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
