Count,Filename_0,Time_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Load,Position,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
0,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0000_0.tif,4748.834,0.2378,0.2491,0.2240,0.2433,0.1927,0.2198,0.1940,0.2130,-32.1332,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0001_0.tif,4749.633,0.2375,0.2491,0.2233,0.2430,0.1927,0.2204,0.1947,0.2130,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0002_0.tif,4750.234,0.2378,0.2494,0.2240,0.2427,0.1934,0.2204,0.1940,0.2130,-32.1332,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0003_0.tif,4750.900,0.2375,0.2494,0.2230,0.2430,0.1931,0.2204,0.1944,0.2134,-32.0893,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0004_0.tif,4751.767,0.2378,0.2494,0.2233,0.2430,0.1927,0.2201,0.1944,0.2134,-32.1332,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0005_0.tif,4773.168,0.2375,0.2494,0.2230,0.2430,0.1931,0.2201,0.1940,0.2130,-32.0893,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0006_0.tif,4901.840,0.2375,0.2491,0.2230,0.2423,0.1931,0.2201,0.1940,0.2130,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0007_0.tif,4902.240,0.2382,0.2494,0.2230,0.2427,0.1934,0.2201,0.1937,0.2127,-32.1770,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0008_0.tif,4902.573,0.2382,0.2494,0.2230,0.2427,0.1931,0.2201,0.1944,0.2137,-32.1770,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0009_0.tif,4902.973,0.2382,0.2501,0.2230,0.2427,0.1931,0.2201,0.1944,0.2130,-32.1770,16.6396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0010_0.tif,4914.240,0.2378,0.2488,0.2233,0.2433,0.1927,0.2204,0.1944,0.2137,-32.1332,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0011_0.tif,4941.908,0.2378,0.2491,0.2233,0.2427,0.1927,0.2201,0.1937,0.2134,-32.1332,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0012_0.tif,5035.712,0.2375,0.2488,0.2230,0.2433,0.1934,0.2198,0.1940,0.2127,-32.0893,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0013_0.tif,5050.579,0.2378,0.2498,0.2237,0.2433,0.1934,0.2208,0.1944,0.2127,-32.1332,16.6413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0014_0.tif,5070.780,0.2375,0.2494,0.2233,0.2430,0.1931,0.2198,0.1940,0.2134,-32.0893,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0015_0.tif,5087.514,0.2378,0.2491,0.2233,0.2430,0.1931,0.2208,0.1944,0.2134,-32.1332,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0016_0.tif,5104.714,0.2378,0.2491,0.2233,0.2427,0.1931,0.2201,0.1934,0.2130,-32.1332,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0017_0.tif,5119.582,0.2378,0.2491,0.2233,0.2433,0.1927,0.2198,0.1944,0.2127,-32.1332,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0018_0.tif,5135.716,0.2375,0.2491,0.2237,0.2430,0.1931,0.2198,0.1937,0.2124,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0019_0.tif,5151.118,0.2385,0.2494,0.2233,0.2433,0.1931,0.2198,0.1944,0.2130,-32.2208,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0020_0.tif,5170.784,0.2378,0.2494,0.2237,0.2433,0.1931,0.2204,0.1944,0.2134,-32.1332,16.6429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0021_0.tif,5185.984,0.2375,0.2491,0.2233,0.2433,0.1934,0.2201,0.1940,0.2134,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0022_0.tif,5684.471,0.2375,0.2488,0.2233,0.2427,0.1927,0.2201,0.1937,0.2127,-32.0893,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0023_0.tif,5684.805,0.2375,0.2491,0.2233,0.2427,0.1931,0.2201,0.1937,0.2130,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0024_0.tif,5685.205,0.2375,0.2491,0.2230,0.2423,0.1927,0.2201,0.1937,0.2127,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0025_0.tif,5685.605,0.2378,0.2488,0.2230,0.2430,0.1924,0.2198,0.1934,0.2127,-32.1332,16.6462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,D:/ME EN 6960 Class/Groupr 04/spray_paint_offset\paint_offset-0026_0.tif,5686.538,0.2375,0.2491,0.2224,0.2427,0.1934,0.2201,0.1940,0.2127,-32.0893,16.6446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
