 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.0052335,0.00266623,613,706,1.05287,5.02417,1,-16.6759,8.67904
-16.4797,8.67637,-0.00496649,0.00245447,620,706,1.06263,5.03128,1,-16.4846,8.67883
-16.2887,8.67637,-0.00491309,0.00238387,627,706,1.0646,5.03331,1,-16.2936,8.67876
-16.0977,8.67637,-0.00499511,0.00237718,634,706,1.06158,5.03295,1,-16.1027,8.67875
-15.9067,8.67637,-0.00507712,0.00239814,641,706,1.05857,5.03165,1,-15.9118,8.67877
-15.7157,8.67637,-0.00512194,0.00246678,648,706,1.05697,5.02849,1,-15.7208,8.67884
-15.5247,8.67637,-0.00518583,0.00245913,655,706,1.05464,5.02819,1,-15.5299,8.67883
-15.3337,8.67637,-0.00538898,0.00224455,662,706,1.04717,5.03549,1,-15.3391,8.67862
-15.1427,8.67637,-0.00533561,0.00185351,669,706,1.04912,5.04921,1,-15.1481,8.67823
-14.9517,8.67637,-0.00489885,0.00162076,676,706,1.06514,5.05711,1,-14.9566,8.67799
-14.7607,8.67637,-0.00446586,0.00185911,683,706,1.08101,5.04781,1,-14.7652,8.67823
-14.5698,8.67637,-0.00430751,0.00224722,690,706,1.08679,5.03293,1,-14.5741,8.67862
-14.3788,8.67637,-0.00422168,0.00230441,697,706,1.08999,5.03027,1,-14.383,8.67868
-14.1878,8.67637,-0.00399663,0.00206976,704,706,1.0982,5.03825,1,-14.1918,8.67844
-13.9968,8.67637,-0.00377539,0.00188375,711,706,1.10633,5.0445,1,-14.0006,8.67826
-13.8058,8.67637,-0.00365809,0.00187609,718,706,1.11062,5.04417,1,-13.8095,8.67825
-13.6148,8.67637,-0.00370672,0.002001,725,706,1.10882,5.03897,1,-13.6185,8.67837
-13.4238,8.67637,-0.00397468,0.0021984,732,706,1.099,5.03121,1,-13.4278,8.67857
-13.2328,8.67637,-0.00432658,0.00231857,739,706,1.08612,5.02616,1,-13.2372,8.67869
